Symbol,SMA,EMA,MACD,ADX,RSI,ROC,OBV,MFI
FE,40.83157909393311,42.76883990047157,0.871439440932356,25.481387921431413,61.75797715990573,13.621765879126247,70607600.0,66.25651014630056
FFIV,290.2164013671875,308.6152655412445,4.4648985805935695,22.768021792276304,59.64737470114577,19.694433694685287,21101000.0,66.50190928925093
FI,179.43399990081787,149.1402696420212,-2.8266838557667455,39.873635619585535,38.51542733742787,-22.246914145387255,-38708700.0,29.606758925033677
FICO,1752.2000518798827,1626.84521237172,71.87391978042024,20.203887772409033,51.645839134875985,-2.2588167671734993,-497800.0,65.41697725166513
FIS,74.5026382637024,71.97786190022819,-0.2639828494242522,19.614867214696226,45.96486787120917,-12.363976860270009,-21825200.0,54.66209168590394
FITB,40.61642660140991,42.58788265367139,-0.12260118182672386,14.238561280168142,53.40252303280938,17.06034224128208,-46460800.0,34.63905402013487
FOX,50.15250778198242,52.222734368309155,0.20905412353159392,13.18169713618861,51.23285718991774,4.639061830229996,38197500.0,61.15168364613629
FOXA,54.326096782684324,57.28279953177776,0.4532204815810985,14.764827204221978,52.458193031790735,7.256522215059769,111885200.0,67.16852239253436
FRT,96.53856327056884,96.53759062282158,0.09085194393828999,12.142591188670204,50.69156181075576,4.15662855565051,-2912800.0,47.28174499236354
FSLR,168.46610027313233,191.88640604469236,8.315999846312394,20.800378300918165,59.01529936234451,56.56532750267091,15840500.0,73.10324318517549
FTNT,96.62510005950928,89.54252760251362,0.9816580672277695,17.278712820191807,47.69233584706387,-15.887575471217662,86424500.0,66.04043041096661
FTV,53.2377374458313,50.21845316680318,0.3630478635559058,10.42296171425787,47.89206257926414,-6.774292304169882,-70870819.0,43.02775587875414
GD,283.9027719116211,310.9872793710762,6.453605106974578,29.449948184710728,63.56015893005903,24.960387648111038,16180000.0,56.83729054741819
GDDY,174.03549995422364,155.90796976089797,-3.537520803111022,32.5529213247168,40.324734789435425,-26.511782463162515,12667100.0,44.65287238914041
GE,230.38183044433595,265.7800460498713,5.52304268056389,21.52512223658983,61.15996561556677,21.28393719042947,208003500.0,50.19948708705759
GEHC,76.5975140953064,74.68683212197739,0.07499890556688626,8.631357315222896,49.21275566106882,5.8501112397583155,-18975800.0,58.3659694314252
GEN,28.0287504196167,28.96690457015487,-0.6288057429491722,12.942033779087664,45.10997398120072,-4.274211823185647,11134700.0,34.54672227032549
GEV,460.5632083129883,562.5791583902231,0.5881644427820447,12.949204997998184,57.31668248661263,30.79110021228628,100823100.0,39.2338049908059
GILD,106.29589813232423,110.99201873152501,0.5693812845853756,10.495300483630501,54.08517826110268,8.700172455779963,285793600.0,55.030683734958366
GIS,54.429670391082766,51.424337078115435,0.029565157170793555,7.066617896428207,45.42963196956942,-7.993055458477539,-86154900.0,53.76316573675061
GL,125.85000988006591,133.29704635388543,-0.9531298463640496,17.844744064383736,52.72056380193205,12.092828700940196,20821700.0,55.59884759301795
GLW,54.49178491592407,65.65728724412375,4.072387123587134,50.840872080976006,74.02494803743306,74.9512874682343,273760000.0,82.42868869436461
GM,50.997105808258056,54.914657102013585,-0.012056021594808897,17.223360983018623,52.29162161579936,17.934935947950304,86963300.0,43.94992533546292
GNRC,148.24610012054444,165.79663743848477,-3.6054567078935804,19.303538912605873,52.549222304817654,42.506630502931664,12333900.0,41.07692509513321
GOOG,188.53820831298827,210.78961253750668,5.202509939573446,33.028260355586895,62.28202958282781,42.46517053844174,567652500.0,66.57677326101931
GOOGL,187.2102013397217,209.89603099911218,5.104084046502692,32.74309974843964,62.25502504046918,43.19273395644705,812349600.0,65.7191004841738
GPC,123.60763080596924,131.62631163756433,-0.5201049673996465,19.664511220669826,50.4131088040029,4.137087512573445,6512900.0,52.20923312839303
GPN,89.35804656982423,85.2972398883612,0.536356791468279,12.079308416777645,51.198888828482026,17.090221875784863,-1084100.0,59.43112889934439
GRMN,215.03239395141603,228.22812643783726,6.412436719794073,20.063497949561963,60.112542262598936,27.428875516803796,31171200.0,54.32183911359879
GS,639.8239465332031,715.3098960079615,7.549411633159252,25.581299577390872,58.73598750465977,30.968620493018694,61476400.0,50.172152885759814
GWW,1021.4765844726562,1004.4022549159007,-9.919018244864219,16.43367394509813,47.016111189167944,-9.642295370074693,89600.0,45.552552658231264
HAL,22.94509388923645,22.556201272612743,0.5054145146222382,9.589890639172086,51.633733481750845,18.812962690003012,-58916100.0,58.929979505533815
HAS,66.20992473602296,73.57883840977091,-0.691324310733421,14.01231568885674,51.668061837289834,14.871770424929377,34241000.0,32.67260645170615
HBAN,15.871154327392578,16.606564794992803,-0.16947914368524408,11.39347650043197,49.58748836025031,6.874194056856031,160901100.0,37.91403124794235
HCA,356.6333654785156,388.84203575795186,7.755060800626154,14.714487917211272,56.53167064760846,10.015415187293875,30470500.0,62.89108619454621
HD,378.4512358093262,389.4941313433084,-5.768180154611855,19.447655195405726,47.65759585631043,3.868153456504375,-74332400.0,31.020599589605535
HIG,121.67836593627929,127.89686721285528,0.45261387185229296,15.197315484680383,52.367683149272594,0.5955617731675078,24981100.0,53.03204348032457
HII,226.22275413513182,258.27657137547425,4.735134568327737,21.559154928755326,58.92437882120268,29.062041546029647,14236800.0,56.87156131868469
HLT,252.6324243927002,262.0236203787303,-3.15602902584601,12.842095267591667,49.92677604348207,4.460035837461662,15970800.0,45.07844597082779
HOLX,64.60985008239746,65.99778392898209,0.4389658086926289,22.4123317000762,52.94164471608129,10.65957846148413,26270000.0,50.08477940506937
HON,215.51507682800292,216.32405413441677,-2.0662826757458106,17.55580338171975,44.394107414354494,-8.968982745793264,-25952500.0,30.50100036430809
HOOD,73.98794973373413,103.50227007455096,10.068443773760038,25.770198377478703,66.9580178423007,124.27184346162154,1584154500.0,69.5990221566025
HPE,19.660394582748413,21.735258325224702,0.6558493986208624,27.79734461220084,62.723058269301845,53.29740870865833,577931400.0,63.85597098293135
HPQ,27.487405643463134,26.880127720292638,-0.18891742182107407,12.081675877179459,49.88263315841912,10.608691530124581,-78757400.0,53.98300671079615
HRL,28.756090259552003,27.295689921663403,-0.6185921501298601,28.956641502925255,39.46067723868123,-22.210358984621436,-28598200.0,38.052876509804534
HSIC,70.38420017242431,68.70652868561443,-0.8925727362450431,5.51545951669151,45.75046890026586,-7.173660205445254,9402500.0,43.19244652464788
HST,15.596233544349671,16.241504578828476,-0.10319321824291094,19.04742919934752,50.290084211034845,7.438102096551136,-56609400.0,32.670384594678524
HSY,169.1231990814209,179.8492101408041,2.4338264133965595,17.960297749006408,55.357299902382195,20.195008329228713,34364000.0,59.47208325109674
HUBB,396.37008071899413,418.24208649194907,-4.6041951076175,9.468917757816206,50.61441244420948,10.173083991017084,-5952862.0,46.50847034803565
HUM,259.5202923583984,264.76142971827664,3.525669562423957,16.194837594396372,54.45947014986383,26.49384825065024,51813900.0,47.94923151333165
HWM,154.5680889892578,175.79406632330927,2.378381387191183,11.998603292169003,56.351843030222156,9.443888216413576,89506600.0,59.79808835541968
IBKR,53.62592044830322,60.60915719123375,2.2173271746270444,11.033037704659488,61.878185225205705,39.697713574196555,123632900.0,57.89737732306974
IBM,252.594541015625,261.9419995269903,9.509152204878433,20.74886160935175,57.52099214912699,9.957853871300216,90029400.0,72.58245241459042
ICE,169.65751419067382,172.8983075109486,-4.108533982463598,19.336522221157907,41.62028629852001,-11.172065178640555,-33916200.0,26.723607751460055
IDXX,509.21659912109374,586.4699975758859,-1.6529403608592474,18.639233109093798,55.53952920979989,22.134812530892532,6210900.0,57.37135092604758
IEX,181.01779609680176,170.72718242347088,0.6085472340782303,8.871402949828024,47.41397086029407,-7.078467072629735,-22947000.0,48.02901870362824
